number,name,species,primary_type,secondary_type,pokedexX,pokedexY,pokedexOR,pokedexAS
582,Vanillite,Fresh Snow,ICE,NONE,The temperature of their breath is -58 degrees Fahrenheit. They create snow crystals and make snow fall in the area around them.,This Pok̩mon formed from icicles bathed in energy from the morning sun. It sleeps buried in snow.,The temperature of their breath is -58 degrees Fahrenheit. They create snow crystals and make snow fall in the areas around them.,This Pok̩mon formed from icicles bathed in energy from the morning sun. It sleeps buried in snow.
583,Vanillish,Icy Snow,ICE,NONE,"They cool down the surrounding air and create ice particles, which they use to freeze their foes.","Snowy mountains are this Pok̩mon's habitat. During an ancient ice age, they moved to southern areas.","They cool down the surrounding air and create ice particles, which they use to freeze their foes.","Snowy mountains are this Pok̩mon's habitat. During an ancient ice age, they moved to southern areas."
584,Vanilluxe,Snowstorm,ICE,NONE,"If both heads get angry simultaneously, this Pok̩mon expels a blizzard, burying everything in snow.","Swallowing large amounts of water, they make snow clouds inside their bodies and, when angry, cause violent blizzards. ","If both heads get angry simultaneously, this Pok̩mon expels a blizzard, burying everything in snow.","Swallowing large amounts of water, they make snow clouds inside their bodies and, when angry, cause violent blizzards."
585,Deerling,Season,NORMAL,GRASS,Their coloring changes according to the season and can be slightly affected by the temperature and humidity as well.,The turning of the seasons changes the color and scent of this Pok̩mon's fur. People use it to mark the seasons.,Their coloring changes according to the seasons and can be slightly affected by the temperature and humidity as well.,The turning of the seasons changes the color and scent of this Pok̩mon's fur. People use it to mark the seasons.
586,Sawsbuck,Season,NORMAL,GRASS,They migrate according to the seasons. People can tell the season by looking at Sawsbuck's horns,"They migrate according to the seasons, so some people call Sawsbuck the harbingers of spring. ",They migrate according to the seasons. People can tell the season by looking at Sawsbuck's horns.,"They migrate according to the seasons, so some people call Sawsbuck the harbingers of spring."
587,Emolga,Sky Squirrel,ELECTRIC,FLYING,They live on treetops and glide using the inside of a cape-like membrane while discharging electricity.,The energy made in its cheeks' electric pouches is stored inside its membrane and released while it is gliding.,They live on treetops and glide using the inside of a cape-like membrane while discharging electricity.,The energy made in its cheeks' electric pouches is stored inside its membrane and released while it is gliding.
588,Karrablast,Clamping,BUG,NONE,These mysterious Pok̩mon evolve when they receive electrical stimulation while they are in the same place as Shelmet.,For some reason they evolve when they receive electrical energy while they are attacking Shelmet. ,These mysterious Pok̩mon evolve when they receive electrical stimulation while they are in the same place as Shelmet.,For some reason they evolve when they receive electrical energy while they are attacking Shelmet.
589,Escavalier,Cavalry,BUG,STEEL,"Wearing the shell covering they stole from Shelmet, they defend themselves and attack with two lances.",These Pok̩mon evolve by wearing the shell covering of a Shelmet. The steel armor protects their whole body.,"Wearing the shell covering they stole from Shelmet, they defend themselves and attack with two lances.",These Pok̩mon evolve by wearing the shell covering of a Shelmet. The steel armor protects their whole body.
590,Foongus,Mushroom,GRASS,POISON,"It lures people in with its Pok̩ Ball pattern, then releases poison spores. Why it resembles a Pok̩ Ball is unknown.","It lures Pok̩mon with its pattern that looks just like a Pok̩ Ball, then releases poison spores.","It lures people in with its Pok̩ Ball pattern, then releases poison spores. Why it resembles a Pok̩ Ball is unknown.","It lures Pok̩mon with its pattern that looks just like a Pok̩ Ball, then releases poison spores."
591,Amoonguss,Mushroom,GRASS,POISON,"They show off their Pok̩ Ball caps to lure prey, but very few Pok̩mon are fooled by this.","It lures prey close by dancing and waving its arm caps, which resemble Pok̩ Balls, in a swaying motion.","They show off their Pok̩ Ball caps to lure prey, but very few Pok̩mon are fooled by this.","It lures prey close by dancing and waving its arm caps, which resemble Pok̩ Balls, in a swaying motion."
592,Frillish,Floating,WATER,GHOST,"They paralyze prey with poison, then drag them down to their lairs, five miles below the surface.","If its veil-like arms stun and wrap a foe, that foe will be dragged miles below the surface, never to return.","They paralyze prey with poison, then drag them down to their lairs, five miles below the surface.","If its veil-like arms stun and wrap a foe, that foe will be dragged miles below the surface, never to return."
593,Jellicent,Floating,WATER,GHOST,Its body is mostly seawater. It's said there's a castle of ships Jellicent have sunk on the seafloor.,"The fate of the ships and crew that wander into Jellicent's habitat: all sunken, all lost, all vanished.",Its body is mostly seawater. It's said there's a castle of ships Jellicent have sunk on the seafloor.,"The fate of the ships and crew that wander into Jellicent's habitat: all sunken, all lost, all vanished."
594,Alomomola,Caring,WATER,NONE,"Floating in the open sea is how they live. When they find a wounded Pok̩mon, they embrace it and bring it to shore.",It gently holds injured and weak Pok̩mon in its fins. Its special membrane heals their wounds. ,"Floating in the open sea is how they live. When they find a wounded Pok̩mon, they embrace it and bring it to shore.",It gently holds injured and weak Pok̩mon in its fins. Its special membrane heals their wounds.
595,Joltik,Attaching,BUG,ELECTRIC,"Since it can't generate its own electricity, it sticks onto large-bodied Pok̩mon and absorbs static electricity.","They attach themselves to large-bodied Pok̩mon and absorbs static electricity, which they store in an electric pouch.","Since it can't generate its own electricity, it sticks onto large-bodied Pok̩mon and absorbs static electricity.","They attach themselves to large-bodied Pok̩mon and absorb static electricity, which they store in an electric pouch."
596,Galvantula,EleSpider,BUG,ELECTRIC,"They employ an electrically charged web to trap their prey. While it is immobilized by shock, they leisurely consume it.","When attacked, they create an electric barrier by spitting out many electrically charged threads. ","They employ an electrically charged web to trap their prey. While it is immobilized by shock, they leisurely consume it.","When attacked, they create an electric barrier by spitting out many electrically charged threads."
597,Ferroseed,Thorn Seed,GRASS,STEEL,"When threatened, it attacks by shooting a barrage of spikes, which gives it a chance to escape by rolling away.",It absorbs the iron it finds in the rock while clinging to the ceiling. It shoots spikes when in danger.,"When threatened, it attacks by shooting a barrage of spikes, which gives it a chance to escape by rolling away.",It absorbs the iron it finds in the rock while clinging to the ceiling. It shoots spikes when in danger.
598,Ferrothorn,Thorn Pod,GRASS,STEEL,"By swinging around its three spiky feelers and shooting spikes, it can obliterate an opponent.","They attach themselves to cave ceilings, firing steel spikes at targets passing beneath them.","By swinging around its three spiky feelers and shooting spikes, it can obliterate an opponent.","They attach themselves to cave ceilings, firing steel spikes at targets passing beneath them."
599,Klink,Gear,STEEL,NONE,Interlocking two bodies and spinning around generates the energy they need to live.,The two minigears that mesh together are predetermined. Each will rebound from other minigears without meshing.,Interlocking two bodies and spinning around generates the energy they need to live.,The two minigears that mesh together are predetermined. Each will rebound from other minigears without meshing.
600,Klang,Gear,STEEL,NONE,"By changing the direction in which it rotates, it communicates its feeling to others. When angry, it rotates faster.","A minigear and big gear comprise its body. If the minigear it launches at a foe doesn't return, it will die.","By changing the direction in which it rotates, it communicates its feelings to others. When angry, it rotates faster.","A minigear and big gear comprise its body. If the minigear it launches at a foe doesn't return, it will die."
601,Klinklang,Gear,STEEL,NONE,The gear with the red core is rotated at high speed for a rapid energy charge.,Its red core functions as an energy tank. It fires the charged energy through its spikes into an area. ,The gear with the red core is rotated at high speed for a rapid energy charge.,Its red core functions as an energy tank. It fires the charged energy through its spikes into an area.
602,Tynamo,EleFish,ELECTRIC,NONE,"While one alone doesn't have much power, a chain of many Tynamo can be as powerful as lightning.","One alone can emit only a trickle of electricity, so a group of them gathers to unleash a powerful electric shock.","While one alone doesn't have much power, a chain of many Tynamo can be as powerful as lightning.","One alone can emit only a trickle of electricity, so a group of them gathers to unleash a powerful electric shock."
603,Eelektrik,EleFish,ELECTRIC,NONE,It wraps itself around its prey and paralyzes it with electricity from the round spots on its sides. Then it chomps.,"These Pok̩mon have a big appetite. When they spot their prey, they attack it and paralyze it with electricity.",It wraps itself around its prey and paralyzes it with electricity from the round spots on its sides. Then it chomps.,"These Pok̩mon have a big appetite. When they spot their prey, they attack it and paralyze it with electricity."
604,Eelektross,EleFish,ELECTRIC,NONE,"With their sucker mouths, they suck in prey. Then they use their fangs to shock the prey with electricity.",They crawl out of the ocean using their arms. They will attack prey on shore and immediately drag it into the ocean.,"With their sucker mouths, they suck in prey. Then they use their fangs to shock the prey with electricity.",They crawl out of the ocean using their arms. They will attack prey on shore and immediately drag it into the ocean.
605,Elgyem,Cerebral,PSYCHIC,NONE,"It uses its strong psychic power to squeeze its opponent's brain, causing unendurable headaches.",Rumors of its origin are linked to a UFO crash site in the desert 50 years ago.,"It uses its strong psychic power to squeeze its opponent's brain, causing unendurable headaches.",Rumors of its origin are linked to a UFO crash site in the desert 50 years ago.
606,Beheeyem,Cerebral,PSYCHIC,NONE,"Apparently, it communicates by flashing its three fingers, but those patterns haven't been decoded.",It uses psychic power to control an opponent's brain and tamper with its memories.,"Apparently, it communicates by flashing its three fingers, but those patterns haven't been decoded.",It uses psychic power to control an opponent's brain and tamper with its memories.
607,Litwick,Candle,GHOST,FIRE,"While shining a light and pretending to be a guide, it leeches off the life force of any who follow it.","Litwick shines a light that absorbs the life energy of people and Pok̩mon, which becomes the fuel that it burns.","While shining a light and pretending to be a guide, it leeches off the life force of any who follow it.","Litwick shines a light that absorbs the life energy of people and Pok̩mon, which becomes the fuel that it burns."
608,Lampent,Lamp,GHOST,FIRE,The spirits it absorbs fuel its baleful fire. It hangs around hospitals waiting for people to pass on.,It arrives near the moment of death and steals spirit from the body.,The spirits it absorbs fuel its baleful fire. It hangs around hospitals waiting for people to pass on.,It arrives near the moment of death and steals spirit from the body.
609,Chandelure,Luring,GHOST,FIRE,"Being consumed in Chandelure's flame burns up the spirit, leaving the body behind.",The spirits burned up in its ominous flame lose their way and wander this world forever.,"Being consumed in Chandelure's flame burns up the spirit, leaving the body behind.",The spirits burned up in its ominous flame lose their way and wander this world forever.
610,Axew,Tusk,DRAGON,NONE,They use their tusks to crush the berries they eat. Repeated regrowth makes their tusks strong and sharp. ,"They mark their territory by leaving gashes in trees with their tusks. If a tusk breaks, a new one grows in quickly.",They use their tusks to crush the berries they eat. Repeated regrowth makes their tusks strong and sharp.,"They mark their territory by leaving gashes in trees with their tusks. If a tusk breaks, a new one grows in quickly."
611,Fraxure,Axe Jaw,DRAGON,NONE,Their tusks can shatter rocks. Territory battles between Fraxure can be intensely violent. ,"A broken tusk will not grow back, so it diligently sharpens its tusks on river rocks after the end of a battle.",Their tusks can shatter rocks. Territory battles between Fraxure can be intensely violent.,"A broken tusk will not grow back, so it diligently sharpens its tusks on river rocks after the end of a battle."
612,Haxorus,Axe Jaw,DRAGON,NONE,They are kind but can be relentless when defending territory. They challenge foes with tusks that can cut steel.,Their sturdy tusks will stay sharp even if used to cut steel beams. These Pok̩mon are covered in hard armor.,They are kind but can be relentless when defending territory. They challenge foes with tusks that can cut steel.,Their sturdy tusks will stay sharp even if used to cut steel beams. These Pok̩mon are covered in hard armor.
613,Cubchoo,Chill,ICE,NONE,Its nose is always running. It sniffs the snot back up because the mucus provides the raw material for its moves.,"Their snot is a barometer of health. When healthly, their snot is sticky and the power of their ice moves increases.",Its nose is always running. It sniffs the snot back up because the mucus provides the raw material for its moves.,"Their snot is a barometer of health. When healthy, their snot is sticky and the power of their ice moves increases."
614,Beartic,Freezing,ICE,NONE,They love the cold seas of the north. They create pathways across the ocean waters by freezing their own breath.,It freezes its breath to create fangs and claws of ice to fight with. Cold northern areas are its habitat.,They love the cold seas of the north. They create pathways across the ocean waters by freezing their own breath.,It freezes its breath to create fangs and claws of ice to fight with. Cold northern areas are its habitat.
615,Cryogonal,Crystallizing,ICE,NONE,They are born in snow clouds. They use chains made of ice crystals to capture prey.,"They are composed of ice crystals. They capture prey with chains of ice, freezing the prey at -148 degrees Fahrenheit.",They are born in snow clouds. They use chains made of ice crystals to capture prey.,"They are composed of ice crystals. They capture prey with chains of ice, freezing the prey at -148 degrees Fahrenheit."
616,Shelmet,Snail,BUG,NONE,"When it and Karrablast are together, and both receive electrical stimulation, they both evolve.",It evolves when bathed in an electric-like energy along with Karrablast. The reason is still unknown.,"When it and Karrablast are together, and both receive electrical stimulation, they both evolve.",It evolves when bathed in an electric-like energy along with Karrablast. The reason is still unknown.
617,Accelgor,Shell Out,BUG,NONE,"Having removed its heavy shell, it becomes very light and can fight with ninja-like movements.","When its body dries out, it weakens. So, to prevent dehydration, it wraps itself in many layers of thin membrane.","Having removed its heavy shell, it becomes very light and can fight with ninja-like movements.","When its body dries out, it weakens. So, to prevent dehydration, it wraps itself in many layers of thin membrane."
618,Stunfisk,Trap,GROUND,ELECTRIC,"Its skin is very hard, so it is unhurt even if stepped on by sumo wrestlers. It smiles when transmitting electricity.","It conceals itself in the mud of the seashore. Then it waits. When prey touch it, it delivers a jolt of electricity.","Its skin is very hard, so it is unhurt even if stepped on by sumo wrestlers. It smiles when transmitting electricity.","It conceals itself in the mud of the seashore. Then it waits. When prey touch it, it delivers a jolt of electricity."
619,Mienfoo,Martial Arts,FIGHTING,NONE,"It takes pride in the speed at which it can use moves. What it loses in power, it makes up for in quantity.","In fights, they dominate with onslaughts of flowing, continuous attacks. With their sharp claws, they cut enemies.","It takes pride in the speed at which it can use moves. What it loses in power, it makes up for in quantity.","In fights, they dominate with onslaughts of flowing, continuous attacks. With their sharp claws, they cut enemies."
620,Mienshao,Martial Arts,FIGHTING,NONE,It wields the fur on its arms like a whip. Its arm attacks come with such rapidity that they cannot ever be seen.,"Using the long fur on its arms like whips, it launches into combo attacks that, once started, no one can stop.",It wields the fur on its arms like a whip. Its arm attacks come with such rapidity that they cannot even be seen.,"Using the long fur on its arms like whips, it launches into combo attacks that, once started, no one can stop."
621,Druddigon,Cave,DRAGON,NONE,"It races through narrow caves, using its sharp claws to catch prey. The skin on its face is harder than a rock.","It warms its body by absorbing sunlight with its wings. When its body temperature falls, it can no longer move.","It races through narrow caves, using its sharp claws to catch prey. The skin on its face is harder than a rock.","It warms its body by absorbing sunlight with its wings. When its body temperature falls, it can no longer move."
622,Golett,Automaton,GROUND,GHOST,"The energy that burns inside it enables it to move, but no one has yet been able to identify this energy.",Ancient science fashioned this Pok̩mon from clay. It's been active for thousands of years.,"The energy that burns inside it enables it to move, but no one has yet been able to identify this energy.",Ancient science fashioned this Pok̩mon from clay. It's been active for thousands of years.
623,Golurk,Automaton,GROUND,GHOST,It is said that Golurk were ordered to protect people and Pok̩mon by the ancient people who made them.,It flies across the sky at Mach speeds. Removing the seal on its chest makes its internal energy go out of control.,It is said that Golurk were ordered to protect people and Pok̩mon by the ancient people who made them.,It flies across the sky at Mach speeds. Removing the seal on its chest makes its internal energy go out of control.
624,Pawniard,Sharp Blade,DARK,STEEL,"Blades comprise this Pok̩mon's entire body.  If battling dulls the blades, it sharpens them on stones by the river. ","Ignoring their injuries, groups attack by sinking the blades that cover their bodies into their prey.","Blades comprise this Pok̩mon's entire body. If battling dulls the blades, it sharpens them on stones by the river.","Ignoring their injuries, groups attack by sinking the blades that cover their bodies into their prey."
625,Bisharp,Sword Blade,DARK,STEEL,The pitiless Pok̩mon commands a group of Pawniard to hound prey into immobility. It then moves in to finish the prey off.,Bisharp pursues prey in the company of a large group of Pawniard. Then Bisharp finishes off the prey.,This pitiless Pok̩mon commands a group of Pawniard to hound prey into immobility. It then moves in to finish the prey off.,Bisharp pursues prey in the company of a large group of Pawniard. Then Bisharp finishes off the prey.
626,Bouffalant,Bash Buffalo,NORMAL,NONE,They charge wildly and headbutt everything. Their headbutts have enough destructive force to derail a train.,"Their fluffy fur absorbs damage, even if they strike foes with a fierce headbutt.",They charge wildly and headbutt everything. Their headbutts have enough destructive force to derail a train.,"Their fluffy fur absorbs damage, even if they strike foes with a fierce headbutt."
627,Rufflet,Eaglet,NORMAL,FLYING,"They crush berries with their talons. They bravely stand up to any opponent, no matter how strong it is. ","They will challenge anything, even strong opponents, without fear. Their frequent fights help them become stronger.","They crush berries with their talons. They bravely stand up to any opponent, no matter how strong it is.","They will challenge anything, even strong opponents, without fear. Their frequent fights help them become stronger."
628,Braviary,Valiant,NORMAL,FLYING,"For the sake of its friends, this brave warrior of the sky will not stop battling, even if injured.",They fight for their friends without any thought about danger to themselves. One can carry a car while flying.,"For the sake of its friends, this brave warrior of the sky will not stop battling, even if injured.",They fight for their friends without any thought about danger to themselves. One can carry a car while flying.
629,Vullaby,Diapered,DARK,FLYING,"Its wings are too tiny to allow it to fly. As the time approaches for it to evolve, it discards the bones it was wearing.",Their wings are too tiny to allow them to fly. They guard their posteriors with bones that were gathered by Mandibuzz.,"Its wings are too tiny to allow it to fly. As the time approaches for it to evolve, it discards the bones it was wearing.",Their wings are too tiny to allow them to fly. They guard their posteriors with bones that were gathered by Mandibuzz.
630,Mandibuzz,Bone Vulture,DARK,FLYING,"They fly in circles around the sky. When they spot prey, they attack and carry it back to their nest with ease.","Watching from the sky, they swoop to strike weakened Pok̩mon on the ground. They decorate themselves with bones.","They fly in circles around the sky. When they spot prey, they attack and carry it back to their nest with ease.","Watching from the sky, they swoop to strike weakened Pok̩mon on the ground. They decorate themselves with bones."
631,Heatmor,Anteater,FIRE,NONE,"Using their very hot, flame-covered tongues, they burn through Durant's steel bodies and consume their insides.","It draws in air through its tail, transforms it into fire, and uses it like a tongue. It melts Durant and eats them.","Using their very hot, flame-covered tongues, they burn through Durant's steel bodies and consume their insides.","It draws in air through its tail, transforms it into fire, and uses it like a tongue. It melts Durant and eats them."
632,Durant,Iron Ant,BUG,STEEL,"Individuals each play different roles in driving Heatmor, their natural predator, away from their colony.","They attack in groups, covering themselves in steel armor to protect themselves from Heatmor.","Individuals each play different roles in driving Heatmor, their natural predator, away from their colony.","They attack in groups, covering themselves in steel armor to protect themselves from Heatmor."
633,Deino,Irate,DARK,DRAGON,"They cannot see, so they tackle and bite to learn about their surroundings. Their bodies are covered in wounds","Lacking sight, it's unaware of its surroundings, so it bumps into things and eats anything that moves.","They cannot see, so they tackle and bite to learn about their surroundings. Their bodies are covered in wounds.","Lacking sight, it's unaware of its surroundings, so it bumps into things and eats anything that moves."
634,Zweilous,Hostile,DARK,DRAGON,The two heads do not get along. Whichever head eats more than the other gets to be the leader.,"After it has eaten up all the food in its territory, it moves to another area. Its two heads do not get along. ",The two heads do not get along. Whichever head eats more than the other gets to be the leader.,"After it has eaten up all the food in its territory, it moves to another area. Its two heads do not get along."
635,Hydreigon,Brutal,DARK,DRAGON,The heads on their arms do not have brains. They use all three heads to consume and destroy everything.,"It responds to movement by attacking. This scary, three-headed Pok̩mon devours everything in its path!",The heads on their arms do not have brains. They use all three heads to consume and destroy everything.,"It responds to movement by attacking. This scary, three-headed Pok̩mon devours everything in its path!"
636,Larvesta,Torch,BUG,FIRE,"Said to have been born from the sun, it spews fire from its horns and encases itself in a cocoon of fire when it evolves.",The base of volcanoes is where they make their homes. They shoot fire from their five horns to repel attacking enemies.,"Said to have been born from the sun, it spews fire from its horns and encases itself in a cocoon of fire when it evolves.",The base of volcanoes is where they make their homes. They shoot fire from their five horns to repel attacking enemies.
637,Volcarona,Sun,BUG,FIRE,"A sea of fire engulfs the surroundings of their battles, since they use their six wings to scatter their ember scales.","When volcanic ash darkened the atmosphere, it is said that Volcarona's fire provided a replacement for the sun.","A sea of fire engulfs the surroundings of their battles, since they use their six wings to scatter their ember scales.","When volcanic ash darkened the atmosphere, it is said that Volcarona's fire provided a replacement for the sun."
638,Cobalion,Iron Will,STEEL,FIGHTING,It has a body and heart of steel. Its glare is sufficient to make even an unruly Pok̩mon obey it.,It has a body and heart of steel. It worked with its allies to punish people when they hurt Pok̩mon.,It has a body and heart of steel. Its glare is sufficient to make even an unruly Pok̩mon obey it.,It has a body and heart of steel. It worked with its allies to punish people when they hurt Pok̩mon.
639,Terrakion,Cavern,ROCK,FIGHTING,Its charge is strong enough to break through a giant castle wall in one blow. This Pok̩mon is spoken of in legends.,"Spoken of in legend, this Pok̩mon used its phenomenal power to destroy a castle in its effort to protect Pok̩mon.",Its charge is strong enough to break through a giant castle wall in one blow. This Pok̩mon is spoken of in legends.,"Spoken of in legend, this Pok̩mon used its phenomenal power to destroy a castle in its effort to protect Pok̩mon."
640,Virizion,Grassland,GRASS,FIGHTING,"Its head sprouts horns as sharp as blades. Using whirlwind-like movements, it confounds and swiftly cuts opponents.",Legends say this Pok̩mon confounded opponents with its swift movements.,"Its head sprouts horns as sharp as blades. Using whirlwind-like movements, it confounds and swiftly cuts opponents.",Legends say this Pok̩mon confounded opponents with its swift movements.
641,Tornadus-Incarnate,Cyclone,FLYING,NONE,The lower half of its body is wrapped in a cloud of energy. It zooms through the sky at 200 mph.,"Tornadus expels massive energy from its tail, causing severe storms. Its power is great enough to blow houses away.",The lower half of its body is wrapped in a cloud of energy. It zooms through the sky at 200 mph.,"Tornadus expels massive energy from its tail, causing severe storms. Its power is great enough to blow houses away."
642,Thundurus-Incarnate,Bolt Strike,ELECTRIC,FLYING,The spikes on its tail discharge immense bolts of lightning. It flies around the Unova region firing off lightning bolts.,"As it flies around, it shoots lightning all over the place and causes forest fires. It is therefore disliked.",The spikes on its tail discharge immense bolts of lightning. It flies around the Unova region firing off lightning bolts.,"As it flies around, it shoots lightning all over the place and causes forest fires. It is therefore disliked."
643,Reshiram,Vast White,DRAGON,FIRE,This legendary Pok̩mon can scorch the world with fire. It helps those who want to build a world of truth.,"When Reshiram's tail flares, the heat energy moves the atmosphere and changes the world's weather.",This legendary Pok̩mon can scorch the world with fire. It helps those who want to build a world of truth.,"When Reshiram's tail flares, the heat energy moves the atmosphere and changes the world's weather."
644,Zekrom,Deep Black,DRAGON,ELECTRIC,This legendary Pok̩mon can scorch the world with lightning. It assists those who want to build an ideal world.,"Concealing itself in lightning clouds, it flies throughout the Unova region. It creates electricity in its tail.",This legendary Pok̩mon can scorch the world with lightning. It assists those who want to build an ideal world.,"Concealing itself in lightning clouds, it flies throughout the Unova region. It creates electricity in its tail."
645,Landorus-Incarnate,Abundance,GROUND,FLYING,"Lands visited by Landorus grant such bountiful crops that it has been hailed as ""The Guardian of the Fields.""","From the forces of lightning and wind, it creates energy to give nutrients to the soil and make the land abundant.","Lands visited by Landorus grant such bountiful crops that it has been hailed as ""The Guardian of the Fields.""","From the forces of lightning and wind, it creates energy to give nutrients to the soil and make the land abundant."
646,Kyurem,Boundary,DRAGON,ICE,This legendary ice Pok̩mon waits for a hero to fill in the missing parts of its body with truth or ideals.,"It generates a powerful, freezing energy inside itself, but its body became frozen when the energy leaked out.",This legendary ice Pok̩mon waits for a hero to fill in the missing parts of its body with truth or ideals.,"It generates a powerful, freezing energy inside itself, but its body became frozen when the energy leaked out."
647,Keldeo,Colt,WATER,FIGHTING,"It crosses the world, running over the surfaces of oceans and rivers. It appears at scenic waterfronts.","When it is resolute, its body fills with power and it becomes swifter. Its jumps are then too fast to follow.","It crosses the world, running over the surfaces of oceans and rivers. It appears at scenic waterfronts.","When it is resolute, its body fills with power and it becomes swifter. Its jumps are then too fast to follow."
648,Meloetta-Aria,Melody,NORMAL,PSYCHIC,The melodies sung by Meloetta have the power to make Pok̩mon that hear them happy or sad.,Its melodies are sung with a special vocalization method that can control the feelings of those who hear it.,The melodies sung by Meloetta have the power to make Pok̩mon that hear them happy or sad.,Its melodies are sung with a special vocalization method that can control the feelings of those who hear it.
649,Genesect,Paleozoic,BUG,STEEL,This ancient bug Pok̩mon was altered by Team Plasma. They upgraded the cannon on its back.,This Pok̩mon existed 300 million years ago. Team Plasma altered it and attached a cannon to its back.,This ancient bug Pok̩mon was altered by Team Plasma. They upgraded the cannon on its back.,This Pok̩mon existed 300 million years ago. Team Plasma altered it and attached a cannon to its back.
650,Chespin,Spiky Nut,GRASS,NONE,"The quills on its head are usually soft. When it flexes them, the points become so hard and sharp that they can pierce rock.",Such a thick shell of wood covers its head and back that even a direct hit from a truck wouldn't faze it.,"The quills on its head are usually soft. When it flexes them, the points become so hard and sharp that they can pierce rock.",Such a thick shell of wood covers its head and back that even a direct hit from a truck wouldn't faze it.
651,Quilladin,Spiny Armor,GRASS,NONE,It relies on its sturdy shell to deflect predators' attacks. It counterattacks with its sharp quills.,They strengthen their lower bodies by running into one another. They are very kind and won't start fights.,It relies on its sturdy shell to deflect predators' attacks. It counterattacks with its sharp quills.,They strengthen their lower bodies by running into one another. They are very kind and won't start fights.
652,Chesnaught,Spiny Armor,GRASS,FIGHTING,Its Tackle is forceful enough to flip a 50-ton tank. It shields its allies from danger with its own body.,"When it takes a defensive posture with its fists guarding its face, it could withstand a bomb blast.",Its Tackle is forceful enough to flip a 50-ton tank. It shields its allies from danger with its own body.,"When it takes a defensive posture with its fists guarding its face, it could withstand a bomb blast."
653,Fennekin,Fox,FIRE,NONE,"Eating a twig fills it with energy,  and its roomy ears give vent to air  hotter than 390 degrees Fahrenheit.","As it walks, it munches on a twig in place of a snack. It intimidates opponents by puffing hot air out of its ears. ","Eating a twig fills it with energy, and its roomy ears give vent to air hotter than 390 degrees Fahrenheit.","As it walks, it munches on a twig in place of a snack. It intimidates opponents by puffing hot air out of its ears."
654,Braixen,Fox,FIRE,NONE,"It has a twig stuck in its tail. With  friction from its tail fur, it sets the  twig on fire and launches into battle.","When the twig is plucked from its tail, friction sets the twig alight. The flame is used to send signals to its allies.","It has a twig stuck in its tail. With friction from its tail fur, it sets the twig on fire and launches into battle.","When the twig is plucked from its tail, friction sets the twig alight. The flame is used to send signals to its allies."
655,Delphox,Fox,FIRE,PSYCHIC,"It gazes into the flame at the tip of its branch to achieve a focused state, which allows it to see into the future.","Using psychic power, it generates a fiery vortex of 5,400 degrees Fahrenheit, incinerating foes swept into this whirl of flame.","It gazes into the flame at the tip of its branch to achieve a focused state, which allows it to see into the future.","Using psychic power, it generates a fiery vortex of 5,400 degrees Fahrenheit, incinerating foes swept into this whirl of flame."
656,Froakie,Bubble Frog,WATER,NONE,It secretes flexible bubbles from its chest and back. The bubbles reduce the damage it would otherwise take when attacked.,"It protects its skin by covering its body in delicate bubbles. Beneath its happy-go-lucky air, it keeps a watchful eye on its surroundings.",It secretes flexible bubbles from its chest and back. The bubbles reduce the damage it would otherwise take when attacked.,"It protects its skin by covering its body in delicate bubbles. Beneath its happy-go-lucky air, it keeps a watchful eye on its surroundings."
657,Frogadier,Bubble Frog,WATER,NONE,"It can throw bubble-covered pebbles with precise control, hitting empty cans up to a hundred feet away.","Its swiftness is unparalleled. It can scale a tower of more than 2,000 feet in a minute's time.","It can throw bubble-covered pebbles with precise control, hitting empty cans up to a hundred feet away.","Its swiftness is unparalleled. It can scale a tower of more than 2,000 feet in a minute's time."
658,Greninja,Ninja,WATER,DARK,"It creates throwing stars out of compressed water. When it spins them and throws them at high speed, these stars can split metal in two.","It appears and vanishes with a ninja's grace. It toys with its enemies using swift movements, while slicing them with throwing stars of sharpest water.","It creates throwing stars out of compressed water. When it spins them and throws them at high speed, these stars can split metal in two.","It appears and vanishes with a ninja's grace. It toys with its enemies using swift movements, while slicing them with throwing stars of sharpest water."
659,Bunnelby,Digging,NORMAL,NONE,They use their large ears to dig burrows.  They will dig the whole night through.,It has ears like shovels. Digging holes strengthens its ears so much that they can sever thick roots effortlessly.,They use their large ears to dig burrows. They will dig the whole night through.,It has ears like shovels. Digging holes strengthens its ears so much that they can sever thick roots effortlessly.
660,Diggersby,Digging,NORMAL,GROUND,"With their powerful ears, they can heft boulders of a ton or more with ease. They can be a big help at construction sites.","As powerful as an excavator, its ears can reduce dense bedrock to rubble. When it's finished digging, it lounges lazily.","With their powerful ears, they can heft boulders of a ton or more with ease. They can be a big help at construction sites.","As powerful as an excavator, its ears can reduce dense bedrock to rubble. When it's finished digging, it lounges lazily."
661,Fletchling,Tiny Robin,NORMAL,FLYING,These friendly Pok̩mon send signals to one another with beautiful chirps and tail-feather movements.,"Despite the beauty of its lilting voice, it's merciless to intruders that enter its territory.",These friendly Pok̩mon send signals to one another with beautiful chirps and tail-feather movements.,"Despite the beauty of its lilting voice, it's merciless to intruders that enter its territory."
